date,time_start,indiv,sex,visits
01-Apr,6:05PM,32,f,1
02-Apr,4:40PM,6,f,8
02-Apr,5:00PM,7,m,3
03-Apr,4:20PM,30,f,7
03-Apr,4:40PM,31,f,4
03-Apr,4:51PM,32,f,5
03-Apr,5:04PM,26,m,6
04-Apr,3:12PM,1,m,0
04-Apr,3:35PM,3,m,0
04-Apr,3:23PM,2,m,0
04-Apr,3:45PM,4,f,0
04-Apr,3:58PM,5,m,1
04-Apr,3:58PM,6,f,0
04-Apr,4:11PM,32,f,10
04-Apr,4:24PM,31,f,6
04-Apr,4:43PM,30,f,10
04-Apr,4:50PM,28,m,3
04-Apr,5:00PM,27,f,0
04-Apr,5:12PM,26,m,5
04-Apr,5:23PM,33,m,7
05-Apr,1:24PM,1,m,0
05-Apr,1:34PM,2,m,0
05-Apr,1:34PM,3,m,0
05-Apr,1:48PM,10,m,1
05-Apr,1:48PM,10,m,1
05-Apr,2:07PM,11,f,0
05-Apr,2:07PM,12,f,0
05-Apr,2:17PM,13,f,0
05-Apr,2:17PM,14,f,2
05-Apr,2:35PM,24,m,4
05-Apr,2:35PM,25,f,0
05-Apr,2:45PM,33,m,4
05-Apr,2:55PM,26,m,8
05-Apr,3:09PM,27,f,8
05-Apr,3:19PM,28,m,5
05-Apr,3:32PM,30,f,12
05-Apr,3:42PM,31,f,5
05-Apr,3:55PM,32,f,5
09-Apr,3:26PM,1,m,0
09-Apr,3:36PM,2,m,0
09-Apr,3:26PM,3,m,1
09-Apr,3:47PM,4,f,0
09-Apr,3:47PM,9,m,1
09-Apr,3:47PM,8,f,0
09-Apr,3:57PM,5,m,0
09-Apr,3:57PM,6,f,1
09-Apr,4:07PM,7,m,1
09-Apr,4:19PM,10,m,1
09-Apr,4:19PM,11,f,0
09-Apr,4:19PM,12,f,0
09-Apr,4:19PM,13,f,0
09-Apr,4:29PM,14,f,0
09-Apr,4:29PM,15,m,0
09-Apr,4:29PM,16,f,0
09-Apr,4:29PM,17,f,0
09-Apr,4:40PM,33,m,2
09-Apr,4:56PM,25,f,0
09-Apr,4:56PM,24,m,0
09-Apr,5:09PM,30,f,8
11-Apr,3:20PM,33,m,2
11-Apr,3:31PM,32,f,4
11-Apr,3:43PM,31,f,0
11-Apr,3:43PM,30,f,8
11-Apr,3:55PM,28,m,3
11-Apr,4:05PM,27,f,3
11-Apr,4:15PM,26,m,6
13-Apr,5:00PM,33,m,0
13-Apr,5:11PM,32,f,1
13-Apr,5:23PM,31,f,1
13-Apr,5:23PM,30,f,16
13-Apr,5:34PM,28,m,10
13-Apr,5:44PM,27,f,2
13-Apr,5:56PM,26,m,0
13-Apr,6:07PM,25,f,0
13-Apr,6:07PM,24,m,0
14-Apr,1:22PM,1,m,0
14-Apr,1:32PM,2,m,0
14-Apr,1:32PM,3,m,0
14-Apr,1:42PM,24,m,0
14-Apr,1:42PM,25,f,0
14-Apr,1:52PM,26,m,5
14-Apr,2:03PM,30,f,7
14-Apr,2:03PM,31,f,0
15-Apr,1:13PM,33,m,1
15-Apr,1:26PM,32,f,4
15-Apr,1:38PM,31,f,3
15-Apr,1:38PM,30,f,6
15-Apr,1:49PM,28,m,31
15-Apr,1:59PM,27,f,1
15-Apr,2:11PM,26,m,14
15-Apr,2:22PM,25,f,0
15-Apr,2:22PM,24,m,0
17-Apr,3:10PM,1,m,3
17-Apr,3:20PM,2,m,0
17-Apr,3:20PM,3,m,1
17-Apr,3:30PM,4,f,0
17-Apr,3:40PM,5,m,5
17-Apr,3:40PM,6,f,0
17-Apr,3:50PM,7,m,4
17-Apr,3:50PM,8,f,7
17-Apr,4:00PM,9,m,0
17-Apr,4:10PM,10,m,1
17-Apr,4:10PM,11,f,0
17-Apr,4:23PM,24,m,1
17-Apr,4:23PM,25,f,1
17-Apr,4:33PM,33,m,5
17-Apr,4:43PM,26,m,2
17-Apr,4:54PM,27,f,3
17-Apr,5:06PM,32,f,11
17-Apr,5:17PM,31,f,0
17-Apr,5:17PM,30,f,6
17-Apr,5:28PM,28,m,5
20-Apr,2:58PM,32,f,4
20-Apr,3:11PM,31,f,0
20-Apr,3:11PM,30,f,3
20-Apr,3:23PM,33,m,5
20-Apr,3:35PM,28,m,0
20-Apr,3:45PM,27,f,0
20-Apr,3:56PM,26,m,0
20-Apr,4:08PM,25,f,0
20-Apr,4:08PM,24,m,0
22-Apr,6:14PM,1,m,3
22-Apr,6:24PM,2,m,0
22-Apr,6:24PM,3,m,0
22-Apr,6:34PM,24,m,0
22-Apr,6:34PM,25,f,1
22-Apr,6:44PM,26,m,4
22-Apr,6:55PM,27,f,1
22-Apr,7:05PM,28,m,3
22-Apr,7:16PM,30,f,0
22-Apr,7:16PM,31,f,0
23-Apr,1:07PM,1,m,3
23-Apr,1:18PM,2,m,0
23-Apr,1:18PM,3,m,0
23-Apr,1:28PM,4,f,0
23-Apr,1:38PM,5,m,7
23-Apr,1:38PM,6,f,1
23-Apr,1:48PM,8,f,15
23-Apr,1:58PM,7,m,12
23-Apr,2:09PM,9,m,1
23-Apr,2:20PM,11,f,1
23-Apr,2:30PM,24,m,0
23-Apr,2:30PM,25,f,0
23-Apr,2:42PM,26,m,14
23-Apr,2:52PM,33,m,0
23-Apr,3:02PM,27,f,0
